model,parameter_name,parameter_value,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1
KNN,n_neighbors,3,0.5997018778621261,0.3473477165160735,0.6328202813804172,0.3503839439496641,0.5997018778621261,0.3473477165160735,0.5852637328553363,0.33160396607719594
KNN,n_neighbors,11,0.4930233272889326,0.397197123363452,0.4916133229827378,0.3806342887784819,0.4930233272889326,0.397197123363452,0.47860947952463073,0.37955857281226535
KNN,n_neighbors,31,0.44621507821864337,0.4035896490257545,0.44347921727415646,0.38989843572129046,0.44621507821864337,0.4035896490257545,0.42660567938814664,0.38237700951348913
KNN,n_neighbors,51,0.4278974705719642,0.4010080521236708,0.42655089439884536,0.3888965239471824,0.4278974705719642,0.4010080521236708,0.40568751743546017,0.37713326356741167
KNN,metric,euclidean,0.5543381381196791,0.3726104862007499,0.5607649993581268,0.36345078535228437,0.5543381381196791,0.3726104862007499,0.5440601226459033,0.3593632449464968
KNN,metric,manhattan,0.5671850508651689,0.3845964718175672,0.5755176903968613,0.375754640575908,0.5671850508651689,0.3845964718175672,0.5574920562796521,0.37098879972692955
KNN,metric,chebyshev,0.532655131081538,0.34605691806503164,0.5400412376134764,0.3362008102371069,0.532655131081538,0.34605691806503164,0.5218215323811655,0.3319127586865995
KNN,metric,minkowski,0.5543381381196791,0.3726104862007499,0.5607649993581268,0.36345078535228437,0.5543381381196791,0.3726104862007499,0.5440601226459033,0.3593632449464968
KNN,p,1,0.5671850508651689,0.3845964718175672,0.5755176903968613,0.375754640575908,0.5671850508651689,0.3845964718175672,0.5574920562796521,0.37098879972692955
KNN,p,2,0.5543381381196791,0.3726104862007499,0.5607649993581268,0.36345078535228437,0.5543381381196791,0.3726104862007499,0.5440601226459033,0.3593632449464968
KNN,p,3,0.5471309586009774,0.36591062757391357,0.5543535710913983,0.3562630187727856,0.5471309586009774,0.36591062757391357,0.5368251878925526,0.352117335280412
KNN,p,4,0.5428127977379599,0.3614850328846272,0.5498119692015224,0.3520355635916678,0.5428127977379599,0.3614850328846272,0.5322935895802959,0.3478304266930865
DecisionTree,max_depth,3,0.22629621661493068,0.22767226012662117,0.1362073233537312,0.12912161031904515,0.22629621661493068,0.22767226012662117,0.13443257895899363,0.13353626129261306
DecisionTree,max_depth,5,0.2826013461597566,0.2850205913086238,0.2901179680938796,0.3041599818504895,0.2826013461597566,0.2850205913086238,0.21948517446964802,0.21970931601209176
DecisionTree,max_depth,10,0.41276085687063957,0.3772204806687565,0.4258499076782155,0.3713259575649285,0.41276085687063957,0.3772204806687565,0.38814341875521763,0.3506884746392329
DecisionTree,max_depth,15,0.6174355349294649,0.38293687380908475,0.6257230448724981,0.37547668802992124,0.6174355349294649,0.38293687380908475,0.6121538001895424,0.37479208358138844
DecisionTree,min_samples_split,2,0.41276085687063957,0.3772204806687565,0.4258499076782155,0.3713259575649285,0.41276085687063957,0.3772204806687565,0.38814341875521763,0.3506884746392329
DecisionTree,min_samples_split,20,0.4088115068998371,0.37734341385457004,0.42069154237830025,0.37316957300409537,0.4088115068998371,0.37734341385457004,0.38407589032485145,0.3509261012701653
DecisionTree,min_samples_split,50,0.40450871315732856,0.3779580797836376,0.41452081599028373,0.37361568427309877,0.40450871315732856,0.3779580797836376,0.37964962025951604,0.35148346209260456
DecisionTree,min_samples_split,100,0.39713249531302824,0.37482328354539307,0.4000584265923863,0.36743508694883525,0.39713249531302824,0.37482328354539307,0.3716937104782438,0.34806031776255353
DecisionTree,min_samples_leaf,1,0.41276085687063957,0.3772204806687565,0.4258499076782155,0.3713259575649285,0.41276085687063957,0.3772204806687565,0.38814341875521763,0.3506884746392329
DecisionTree,min_samples_leaf,2,0.4117005255555214,0.37666728133259575,0.4254289712677322,0.37271987990702005,0.4117005255555214,0.37666728133259575,0.38686119571885663,0.3502934056301496
DecisionTree,min_samples_leaf,4,0.4101330792636076,0.3764828815538755,0.41749286459969376,0.36862680129783576,0.4101330792636076,0.3764828815538755,0.38521622509686715,0.3498412157994317
DecisionTree,min_samples_leaf,8,0.40785874542828165,0.3767287479255025,0.4124019016644913,0.3693344405348149,0.40785874542828165,0.3767287479255025,0.3830450430128388,0.35004223713192156
RandomForest,n_estimators,50,0.999969265758982,0.4715717007806257,0.999969272342708,0.4662315099736397,0.999969265758982,0.4715717007806257,0.9999692660178564,0.45772170761437325
RandomForest,n_estimators,100,1.0,0.4823898211322146,1.0,0.4804312717771056,1.0,0.4823898211322146,1.0,0.468405934588816
RandomForest,n_estimators,200,1.0,0.4856475505562727,1.0,0.48455252645883007,1.0,0.4856475505562727,1.0,0.4716393862775236
RandomForest,n_estimators,300,1.0,0.4843567521052308,1.0,0.48418952453658026,1.0,0.4843567521052308,1.0,0.47002311176486233
RandomForest,max_depth,5,0.30961674401450656,0.30714856475505564,0.3228993922678503,0.30778556872751,0.30961674401450656,0.30714856475505564,0.24364545763763343,0.2383854525999652
RandomForest,max_depth,10,0.47232381596336476,0.4181572315446555,0.5659402426506416,0.44350922163069867,0.47232381596336476,0.4181572315446555,0.44148554132841644,0.38248772735780384
RandomForest,max_depth,15,0.7808802286627532,0.4666543733480853,0.8107404018249749,0.47570749951474006,0.7808802286627532,0.4666543733480853,0.7780215837556494,0.4471373239940441
RandomForest,max_depth,None,1.0,0.4823898211322146,1.0,0.4804312717771056,1.0,0.4823898211322146,1.0,0.468405934588816
RandomForest,min_samples_leaf,1,1.0,0.4823898211322146,1.0,0.4804312717771056,1.0,0.4823898211322146,1.0,0.468405934588816
RandomForest,min_samples_leaf,2,0.9927159848787535,0.47771836007130125,0.9927864789818163,0.4825761561733062,0.9927159848787535,0.47771836007130125,0.992721463994524,0.4634489985293417
RandomForest,min_samples_leaf,4,0.8947813258751575,0.47292396582457435,0.9000147349704096,0.47098474611516383,0.8947813258751575,0.47292396582457435,0.8937178227223551,0.45648424368214385
RandomForest,min_samples_leaf,8,0.7155853336201863,0.4681910381707542,0.7380599908107501,0.46603145954116443,0.7155853336201863,0.4681910381707542,0.7048304390049381,0.4486942468771567
SVM,C,0.1,0.37007099609675137,0.3656032946093798,0.38319011537008096,0.3676244749436213,0.37007099609675137,0.3656032946093798,0.3321176068979493,0.3262956946185616
SVM,C,1,0.43253834096566984,0.41354723707664887,0.4595920188882622,0.43361596983623685,0.43253834096566984,0.41354723707664887,0.40746824273958004,0.3874465726451607
SVM,C,10,0.5006915204229031,0.4373962751244698,0.5175986153859665,0.4398475719363504,0.5006915204229031,0.4373962751244698,0.4857440356280196,0.4206885501518794
SVM,C,100,0.6045425208224483,0.43794947446063065,0.615094872431264,0.4287950335600414,0.6045425208224483,0.43794947446063065,0.5984627450903118,0.42601712912934103
SVM,kernel,linear,0.3202507914067062,0.3195033499293134,0.2999020963675748,0.3030671060875289,0.3202507914067062,0.3195033499293134,0.26461741507934794,0.2630825097432324
SVM,kernel,poly,0.3962104680824907,0.38158460876513617,0.46910504654914814,0.4339625511518312,0.3962104680824907,0.38158460876513617,0.3738941137861796,0.35760158160634214
SVM,kernel,rbf,0.43253834096566984,0.41354723707664887,0.4595920188882622,0.43361596983623685,0.43253834096566984,0.41354723707664887,0.40746824273958004,0.3874465726451607
SVM,kernel,sigmoid,0.16524264683283646,0.16602126744114573,0.1546759777797031,0.16328559079817342,0.16524264683283646,0.16602126744114573,0.14296092750431247,0.14428345448361043
SVM,gamma,scale,0.43253834096566984,0.41354723707664887,0.4595920188882622,0.43361596983623685,0.43253834096566984,0.41354723707664887,0.40746824273958004,0.3874465726451607
SVM,gamma,auto,0.43253834096566984,0.41354723707664887,0.4595920188882622,0.43361596983623685,0.43253834096566984,0.41354723707664887,0.40746824273958004,0.3874465726451607
SVM,gamma,0.01,0.34743522758705475,0.34464318642817626,0.37146532707676977,0.35385929920422027,0.34743522758705475,0.34464318642817626,0.3006746155651592,0.2974027329502833
SVM,gamma,0.1,0.43748655376955464,0.41569856782838527,0.46023624097824073,0.43758006056311616,0.43748655376955464,0.41569856782838527,0.4131838841015429,0.3906396985630463
